mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
530.0,33.56528,33.51925567906149,530.0,29.68059,29.600466429861726,530.0,28.81733,28.694296892859537,530.0,28.6159,28.525204608973926,530.0,28.64468,28.525107155606037
520.0,33.33507,33.19731370966425,520.0,29.42162,29.321692755270618,520.0,28.55836,28.418550134824116,520.0,28.41447,28.244545088417475,520.0,28.41447,28.239500992111733
510.0,33.01855,32.87933021973147,510.0,29.24895,29.046637306181104,510.0,28.35693,28.147761362050815,510.0,28.18426,27.970405640133958,510.0,28.18426,27.961279565821496
500.0,32.84589,32.56653832044113,500.0,29.01876,28.776621761889043,500.0,28.1555,27.88361021729629,500.0,27.98283,27.704693038835764,500.0,28.01161,27.69251687517152
490.0,32.58692,32.26102875704288,490.0,28.90365,28.513823461012755,490.0,28.01161,27.628617073246353,490.0,27.81018,27.45010796448681,490.0,27.81018,27.43606413416111
480.0,32.3567,31.965839071105677,480.0,28.58712,28.261350539870726,480.0,27.78142,27.386189413115403,480.0,27.63753,27.210175562004704,480.0,27.60875,27.195563982981433
470.0,32.09773,31.684976938638332,470.0,28.47202,28.023248752041397,470.0,27.55121,27.160594867747097,470.0,27.40732,26.989201763174663,470.0,27.37856,26.975385884600822
460.0,31.8963,31.423360208538107,460.0,28.24182,27.804423909379384,460.0,27.40732,26.956845416528633,460.0,27.26345,26.792139304086483,460.0,27.23467,26.78046863287898
450.0,31.66609,31.186659269741394,450.0,28.06917,27.610467451277255,450.0,27.20591,26.780482095084764,450.0,27.03324,26.62435074617971,450.0,27.00448,26.616060535512034
440.0,31.4359,30.981030573510093,440.0,27.89651,27.447375497593086,440.0,27.06202,26.637253838182477,440.0,26.88937,26.491261212999017,440.0,26.86059,26.4873525258955
430.0,31.26325,30.812733530581966,430.0,27.72386,27.321154895462143,430.0,26.88937,26.53268694298694,430.0,26.71673,26.397899498662163,430.0,26.68795,26.399004213261957
420.0,31.11937,30.687627467907657,420.0,27.66631,27.237314090880556,420.0,26.83181,26.47154528818491,420.0,26.63039,26.348332071320083,420.0,26.60162,26.354568344607962
410.0,30.86039,30.610550151710388,410.0,27.37856,27.20024128982716,410.0,26.57284,26.457186506730196,410.0,26.40019,26.345000046686472,410.0,26.37141,26.35582482141338
400.0,30.63018,30.584585736399397,400.0,27.26345,27.21247882151756,400.0,26.42897,26.490826523548595,400.0,26.22754,26.387976191218875,400.0,26.19876,26.402042534996898
390.0,30.48631,30.610241264416874,390.0,27.06202,27.273914002122368,390.0,26.28509,26.570736588769638,390.0,26.11244,26.47417020365306,390.0,26.05488,26.489198592549894
380.0,30.2561,30.684565680302473,380.0,26.94692,27.38092152362186,380.0,26.11244,26.691411609428872,380.0,25.91101,26.596524309103124,380.0,25.88223,26.609198590749887
370.0,30.08345,30.800258464044962,370.0,26.77427,27.525505284863545,370.0,26.02611,26.842761077676162,370.0,25.82468,26.74325286268409,370.0,25.76712,26.749153466608742
360.0,30.02589,30.94482505172697,360.0,26.77427,27.694496770687657,360.0,25.93979,27.009382270778886,360.0,25.73836,26.897187557245932,360.0,25.6808,26.890775856980643
350.0,29.73814,31.099844166181775,350.0,26.48652,27.86887352821882,350.0,25.73836,27.16998066790071,350.0,25.56569,27.03529434273854,350.0,25.50815,27.009962418841564
340.0,29.59427,31.240418308332337,340.0,26.37141,28.02326666898299,340.0,25.56569,27.29700643807968,340.0,25.39304,27.128429838110947,340.0,25.3355,27.0766292003054
330.0,29.39284,31.33488467266003,330.0,26.25631,28.125732594746157,330.0,25.47937,27.35658009146453,330.0,25.27794,27.14140564188448,330.0,25.22039,27.05486622945484
320.0,29.27773,31.344868142145675,320.0,26.11244,28.137867829735427,320.0,25.3355,27.308781356135384,320.0,25.16285,27.033426811260895,320.0,25.10529,26.90347307339392
310.0,29.0763,31.2257540095943,310.0,25.99733,28.01533949443434,310.0,25.22039,27.108365743030397,310.0,25.01896,26.75895932266094,310.0,24.96142,26.57692327532194
300.0,28.98998,30.927642215914,300.0,25.85345,27.708886166527872,300.0,25.10529,26.70595139819533,300.0,24.93264,26.269057294827604,300.0,24.84631,26.0267794568891
290.0,28.90365,30.396818099145847,290.0,25.91101,27.16581666879547,290.0,25.10529,26.04968685237839,290.0,24.8751,25.513145464018006,290.0,24.81753,25.203543872654677
280.0,28.67344,29.57773619857042,280.0,25.62325,26.33199531413076,280.0,24.90386,25.08736675148304,280.0,24.67367,24.441205756850607,280.0,24.61611,24.058880869152972
270.0,28.5008,28.41546368403735,270.0,25.53693,25.154250254071055,270.0,24.73121,23.76890671942723,270.0,24.52978,23.00625882723878,270.0,24.47224,22.54808724133288
260.0,28.35693,26.858471096281104,260.0,25.39304,23.583080931959454,260.0,24.70243,22.049023586298176,260.0,24.47224,21.16696421841385,260.0,24.41468,20.63261637730896
250.0,28.24182,24.861588145045417,250.0,25.27794,21.575470588577165,250.0,24.52978,19.889892582613957,250.0,24.32835,18.890084590579374,250.0,24.24203,18.282382217974572
240.0,28.06917,22.388855109194168,240.0,25.19161,19.09752359466956,240.0,24.47224,17.26346279325583,240.0,24.24203,16.15246588202665,240.0,24.18448,15.477475704854484
230.0,5.7394,19.415986307773007,230.0,0.67491,16.126643141847765,230.0,-4.50467,14.153123683832968,230.0,-8.93609,12.942212874798612,230.0,-12.15895,12.208967773869157
