mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
240.0,31.49344,23.682918086884847,240.0,28.18426,19.796276882076878,240.0,27.29224,17.86800812723222,240.0,27.26345,16.710449017004635,240.0,27.40732,15.51413356592568
230.0,2.34389,20.101854602868183,230.0,-4.56222,16.207545484206825,230.0,-10.14466,14.169074911077146,230.0,-15.32424,12.893194324359584,230.0,-21.53975,11.531796533963533
220.0,12.15633,15.95051452473296,220.0,7.43714,12.06280280347774,220.0,4.0992,9.930878194786086,220.0,1.45185,8.553406595035582,220.0,-1.33937,7.0479394273173925
210.0,15.00509,11.239741416313185,210.0,10.40103,7.372623515282304,210.0,7.58103,5.166904756155006,210.0,5.59551,3.707397479515468,210.0,3.17838,2.083271187418766
200.0,16.47265,6.000068992660443,200.0,12.24266,2.165452460883086,200.0,9.62409,-0.09329031748913141,200.0,7.69614,-1.6143071311520443,200.0,5.7394,-3.3294346661860996
190.0,17.53734,0.2850776044098359,190.0,13.39367,-3.5089099352885245,190.0,10.89021,-5.800569920511897,190.0,9.33634,-7.363392915615769,190.0,7.49471,-9.141721844296555
180.0,18.31428,-5.82608009637917,180.0,14.22816,-9.576437359189665,180.0,12.01245,-11.88308390993176,180.0,10.34347,-13.470329895802893,180.0,8.6745,-15.285708586330161
170.0,18.83224,-12.22883656792635,170.0,14.97633,-15.938550682270677,170.0,12.64552,-18.245560153520127,170.0,11.29307,-19.843254837714213,170.0,9.76796,-21.672536454775965
160.0,-67.78193,-18.797514466465227,160.0,-70.94724,-22.475842875711756,160.0,-72.9903,-24.77259437227353,160.0,-74.60172,-26.370811317586206,160.0,-76.52967,-28.194748273833163
150.0,-45.30829,-25.393534990987007,150.0,-48.01319,-29.055653417017798,150.0,-50.02747,-31.335778498468425,150.0,-51.17849,-32.92882656998064,150.0,-52.53094,-34.732519619694045
140.0,-37.27993,-31.87459221087456,140.0,-40.41646,-35.54062296384068,140.0,-42.11421,-37.80183052389136,140.0,-43.17891,-39.388015438707114,140.0,-44.64645,-41.160954446151116
130.0,-32.3881,-38.10107512636803,130.0,-35.23688,-41.79459365104972,130.0,-37.04973,-44.03812220137966,130.0,-38.20075,-45.61913551972102,130.0,-39.40931,-47.354882408614166
120.0,-28.56096,-43.93861211117779,120.0,-31.63994,-47.68479153150572,120.0,-33.36647,-49.914572661427954,120.0,-34.28728,-51.494593958165645,120.0,-35.61096,-53.19017918597035
110.0,-25.65464,-49.25871264316859,110.0,-28.67607,-53.08229066499994,110.0,-30.2875,-55.30393279353981,110.0,-31.46728,-56.88855896812241,110.0,-32.58953,-58.54368594287235
100.0,-23.2375,-53.94049714410305,100.0,-26.23015,-57.86375572649893,100.0,-28.01423,-60.083472362930216,100.0,-28.8775,-61.678604605396025,100.0,-30.02851,-63.29477166603747
90.0,-108.55678,-57.87579440101126,90.0,-112.6429,-61.91674616242456,90.0,-115.00249,-64.14035794346789,90.0,-117.01677,-65.75118156997847,90.0,-118.91595,-67.33083572376374
80.0,-78.34253,-60.977778155771425,80.0,-82.48621,-65.14874390637517,80.0,-84.90335,-67.38086998594741,80.0,-86.6011,-69.01104736141451,80.0,-88.15496,-70.5568704067787
70.0,-66.7748,-63.190408957147724,70.0,-71.20621,-67.49712802689103,70.0,-73.3356,-69.74064112261634,70.0,-74.9758,-71.39179347207367,70.0,-76.58723,-72.90618195177046
60.0,-90.88864,-64.49501267507053,60.0,-96.15455,-68.93635665078206,60.0,-98.97455,-71.19212339088526,60.0,-101.21903,-72.86361969406157,60.0,-102.97434,-74.34837161498376
50.0,-69.70989,-64.91232034266734,50.0,-75.00458,-69.48060497006217,50.0,-77.50804,-71.74749355019907,50.0,-79.40723,-73.4365217611059,50.0,-81.07621,-74.89271007619126
40.0,-60.87582,-64.5003351699848,40.0,-65.85398,-69.18215543459858,40.0,-68.21357,-71.45726652194432,40.0,-70.11275,-73.15913615682472,40.0,-71.55153,-74.58713299889664
30.0,-75.89662,-63.348950774196915,30.0,-81.85313,-68.12640870008245,30.0,-84.67313,-70.40546692657959,30.0,-86.8313,-72.11407436726691,30.0,-88.55782,-73.51368206304694
20.0,-58.22848,-61.57234074141945,20.0,-63.66704,-66.42450444533125,20.0,-66.05541,-68.7023400956803,20.0,-67.98336,-70.41072069460985,20.0,-69.45091,-71.78136434090939
10.0,-51.754,-59.300039259623645,10.0,-56.76092,-64.20445766000081,10.0,-59.14929,-66.47550781241641,10.0,-60.84704,-68.17639926416862,10.0,-62.17071,-69.51733779781424
0.0,-47.14992,-56.667425003760414,0.0,-52.07053,-61.60152500239522,0.0,-54.22869,-63.860287741819214,0.0,-55.89766,-65.54663545023621,0.0,-57.19256,-66.85715226532893
-10.0,-43.49543,-53.80651482415123,-10.0,-48.15706,-58.74874644354525,-10.0,-50.31522,-60.99013879721697,-10.0,-51.86909,-62.65549338084143,-10.0,-53.04889,-63.935039394842974
-20.0,-40.41646,-50.83815758631974,-20.0,-45.02054,-55.7688220112761,-20.0,-47.0636,-57.988420675324086,-20.0,-48.53114,-59.62720718786814,-20.0,-49.73971,-60.87548738152948
-30.0,-37.88422,-47.866415762174654,-30.0,-42.25809,-52.76817925800534,-30.0,-44.30115,-54.962350240276265,-30.0,-45.76869,-56.5700150713185,-30.0,-46.86217,-57.78702468480544
-40.0,-47.81175,-44.97543048538968,-40.0,-52.96257,-49.83357453957992,-40.0,-55.23583,-51.99951532091394,-40.0,-56.84726,-53.572573785795505,-40.0,-58.14215,-54.758598250415545
-50.0,-37.51014,-42.22858390087897,-50.0,-42.05666,-47.03106124644768,-50.0,-44.09972,-49.16678383578453,-50.0,-45.59605,-50.702797378683414,-50.0,-46.68951,-51.85839087413762
-60.0,-34.57504,-39.669361417867734,-60.0,-38.97768,-44.406717421154426,-60.0,-40.96319,-46.51099399054521,-60.0,-42.34442,-48.008500723346316,-60.0,-43.40911,-49.134453446674705
-70.0,-41.85523,-37.32328158502972,-70.0,-46.74706,-41.98848134397429,-70.0,-48.87645,-44.0607658901756,-70.0,-50.40155,-45.519179504952014,-70.0,-51.58134,-46.616478653687956
-80.0,-33.16504,-35.20053077096444,-80.0,-37.51014,-39.78872495754274,-80.0,-39.52442,-41.82906233711293,-80.0,-40.87686,-43.2485501277397,-80.0,-41.88401,-44.31833816284364
-90.0,-30.80545,-33.2990545303147,-90.0,-35.06422,-37.80731492607644,-90.0,-36.9634,-39.81624816536592,-90.0,-38.2583,-41.19759758475803,-90.0,-39.26544,-42.24113103504037
-100.0,-44.704,-31.607826385002014,-100.0,-49.76849,-36.03487646159033,-100.0,-52.01297,-38.013359948383986,-100.0,-53.5093,-39.357841760469775,-100.0,-54.63154,-40.376452955939044
-110.0,-30.94933,-30.109978417122697,-110.0,-35.26565,-34.45593389554641,-110.0,-37.1936,-36.405254653454655,-110.0,-38.45973,-37.71448880438023,-110.0,-39.46687,-38.70955199025653
